class_id,x,y,z
tv,1.8559388954637737,-0.17008074790200362,5.167590858459472
chair,1.8559388954637737,-0.17008074790200362,5.167590858459472
stop sign,1.8559388954637737,-0.17008074790200362,5.167590858459472
chair,1.8679086106366554,-0.1712239208845931,5.2008946706056625
stop sign,1.8679086106366554,-0.1712239208845931,5.2008946706056625
tv,1.8679086106366554,-0.1712239208845931,5.2008946706056625
